[2026-01-29 19:30:03,607] ERROR: Gagal download DEFI.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/DEFI.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257801&period2=1769689801
[2026-01-29 19:30:03,609] INFO: [DEFI] Gagal mengambil data.
[2026-01-29 19:30:03,716] INFO: [DNET] Selesai. +4 data baru.
[2026-01-29 19:30:04,520] ERROR: Gagal download GSMF.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/GSMF.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257802&period2=1769689802
[2026-01-29 19:30:04,522] INFO: [GSMF] Gagal mengambil data.
[2026-01-29 19:30:05,052] ERROR: Gagal download HDFA.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/HDFA.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257803&period2=1769689803
[2026-01-29 19:30:05,054] INFO: [HDFA] Gagal mengambil data.
[2026-01-29 19:30:05,189] ERROR: Gagal download LPGI.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/LPGI.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257803&period2=1769689803
[2026-01-29 19:30:05,191] INFO: [LPGI] Gagal mengambil data.
[2026-01-29 19:30:05,318] ERROR: Gagal download INPC.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/INPC.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257803&period2=1769689803
[2026-01-29 19:30:05,320] INFO: [INPC] Gagal mengambil data.
[2026-01-29 19:30:06,298] INFO: [LPPS] Selesai. +4 data baru.
[2026-01-29 19:30:06,926] ERROR: Gagal download MFIN.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/MFIN.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257805&period2=1769689805
[2026-01-29 19:30:06,928] INFO: [MFIN] Gagal mengambil data.
[2026-01-29 19:30:06,969] INFO: [MCOR] Selesai. +4 data baru.
[2026-01-29 19:30:06,989] INFO: [MAYA] Selesai. +4 data baru.
[2026-01-29 19:30:07,024] ERROR: Gagal download MEGA.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/MEGA.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257805&period2=1769689805
[2026-01-29 19:30:07,027] INFO: [MEGA] Gagal mengambil data.
[2026-01-29 19:30:08,387] ERROR: Gagal download NISP.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/NISP.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257806&period2=1769689806
[2026-01-29 19:30:08,389] ERROR: Gagal download PADI.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/PADI.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257807&period2=1769689807
[2026-01-29 19:30:08,390] ERROR: Gagal download MREI.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/MREI.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257806&period2=1769689806
[2026-01-29 19:30:08,392] INFO: [NISP] Gagal mengambil data.
[2026-01-29 19:30:08,396] INFO: [PADI] Gagal mengambil data.
[2026-01-29 19:30:08,396] INFO: [MREI] Gagal mengambil data.
